katz_centrality,vertex
0.00462205,CPCL06-3233
0.00462205,CP14-1175
0.004622053,CP92-1390
0.004622053,CP03-1152
0.00462205,CP17-1426
0.004622053,CP06-3064
0.00462205,CP19-1653
0.004622053,CP07-2392
0.0046220473,CPCL02-0481
0.0046220515,CP12-1520
0.004622053,L68-0080
0.00462205,CP16-2352
0.00462205,CP01-1066
0.004622053,CP16-1276
0.00462205,CP09-1879
0.00462205,CP19-1361
0.004622053,HoCP20-0574
0.004622053,CP18-1989
0.00462205,CP01-1451
0.0046220473,CP10-1272
0.00462205,CP03-1934
0.00462205,CP00-1297
0.0046220473,CP96-1099
0.004622053,CP01-1875
0.004622053,CP12-1915
0.0046220473,CP00-2036
0.00462205,CP09-2075
0.00462205,CP92-1344
0.004622053,CP90-1340
0.00462205,CP12-1852
0.00462205,CP04-2054
0.00462205,CP96-1078
0.004622053,Ho19-9326
0.004622053,CP95-2027
0.00462205,CP14-1386
0.00462205,CP02-1073
0.00462205,CP01-1488
0.00462205,CP18-4722
0.0046220515,CP19-2270
0.004622053,CP11-2148
0.004622053,CP94-1844
0.004622053,LCP85-0379
0.0046220473,CP00-1223
0.004622053,CP19-2093
0.004622053,Ho15-9337
0.00462205,CP91-1375
0.004622053,CP09-2111
0.0046220473,CPCL05-1276
0.004622053,CP02-2533
0.00462205,CPCL02-0614
0.00462205,CP07-2354
0.004622053,CP94-1441
0.00462205,CP17-1163
0.004622053,CP04-1953
0.004622053,CP17-1210
0.0046220473,CP93-1412
0.004622053,CP53-0063
0.00462205,CP92-1208
0.00462205,CP15-2347
0.00462205,CP96-1506
0.00462205,CP16-2065
0.004622053,CP00-1893
0.004622053,CP15-1703
0.004622053,CP12-2420
0.004622053,Ho18-9246
0.004622053,CP19-1400
0.00462205,CP14-2416
0.004622053,CP01-1571
0.00462205,CP19-4655
0.004622053,CP15-4690
0.004622053,L05-0445
0.004622053,US68-0026-0021
0.00462205,CP11-2058
0.00462205,CP92-1675
0.00462205,CP10-2377
0.004622053,CP18-1680
0.00462205,CP99-1757
0.004622053,CP16-1060
0.0046220515,CP14-1740
0.004622053,CP14-2259
0.004622053,CP18-2083
0.004622053,CP03-1776
0.004622053,HoCP00-0913
0.00462205,CP12-1588
0.00462205,CP13-2285
0.00462205,CP11-1350
0.004622053,CP16-4491
0.00462205,CP02-1449
0.00462205,CP11-2393
0.0046220473,CP99-1516
0.00462205,CP07-2632
0.004622053,CP16-1340
0.00462205,CP17-1205
0.0046220487,CP11-1071
0.004622053,CP01-2446
0.004622053,CP71-0486
0.004622053,L89-0135
0.004622053,CP04-2006
0.00462205,CP18-1939
0.00462205,CP15-4741
0.00462205,CP97-1704
0.004622053,CP13-1807
0.004622053,CP00-1562
0.00462205,CP19-2414
